2021-03-22 17:57:34,588 [WrapperStartStopAppMain] (AbstractEventsBuffer.java:52) WARN  - Debugger execution events:  - init buffer with capacity: 100000, with bulkSize:5000
2021-03-22 17:57:39,322 [WrapperStartStopAppMain] (LWSSOConfigurationServiceImpl.java:57) WARN  - "InitString" cannot be shorter than 12 characters.
2021-03-22 17:57:40,307 [WrapperStartStopAppMain] (LWSSOConfigurationServiceImpl.java:57) WARN  - "InitString" cannot be shorter than 12 characters.
2021-03-23 14:10:05,917 [https-jsse-nio-8445-exec-9] (JarValidatorImpl.java:91) WARN  - Content pack oo-performance-benchmark-cp-1.1.12.jar exists in the database
2021-03-23 14:12:38,753 [https-jsse-nio-8445-exec-3] (JarValidatorImpl.java:91) WARN  - Content pack cs-base-cp-1.2.3.jar exists in the database
2021-03-23 14:13:11,488 [threadPoolTaskExecutor-1] (ImportServiceImpl.java:102) INFO  - Started async import of Import Unit
2021-03-23 14:13:11,488 [https-jsse-nio-8445-exec-6] (ImportManagementServiceImpl.java:38) INFO  - deploy process finish start, processId: 1
2021-03-23 14:13:11,770 [threadPoolTaskExecutor-1] (ImportServiceImpl.java:171) INFO  - Deploying cps: test-mi-cp-1.0.7.jar,sysprop-cp-4.0.2.jar,amazon_order-cp-1.0.jar,collecting metrics-cp-1.0.63.jar,Performance-CP-cp-1.0.0.jar,benchmark-afl-cp-1.0.0.jar,memory-cpuintensive-flows-cp-1.0.7.jar,OOQA Performance Testing-cp-1.0.2.jar,RPA_Performance_Flows-cp-2.jar,Throughput-Benchmark-Flows-cp-1.0.0.jar,cs-base-cp-1.2.3.jar,cs-microfocus-dca-base-cp-1.0.2.jar,aa-cp-1.0.0.jar,RPA-Performance-cp-1.jar,RAS-JMX-cp-1.0.5.jar,cs-microfocus-dca-provisioning-cp-2.0.1.jar,WorkerMetricCp-cp-cp-1.1.jar,oo_cs_performance_benchmark-cp-1.0.5.jar,cs-microfocus-ucmdb-cp-1.0.0.jar,oo-cs-performance-compat-cp-1.1.0.jar,Web_RPA_Longevity-cp-1.0.2.jar,CloudSlang_perf-cp-1.0.0.jar,RasJMX-cp-1.0.0.jar,oo-performance-benchmark-cp-1.1.12.jar,New_Benchmark_flows-cp-1.0.2.jar,Performance-base-cp-1.0.0.jar
2021-03-23 14:13:16,707 [threadPoolTaskExecutor-1] (ImportCPServiceImpl.java:274) INFO  - Delete CP files from Temp Directory
2021-03-23 14:13:17,504 [threadPoolTaskExecutor-1] (ImportCPServiceImpl.java:274) INFO  - Delete CP files from Temp Directory
2021-03-23 14:13:17,988 [threadPoolTaskExecutor-1] (ImportCPServiceImpl.java:274) INFO  - Delete CP files from Temp Directory
2021-03-23 14:13:18,395 [threadPoolTaskExecutor-1] (ImportCPServiceImpl.java:274) INFO  - Delete CP files from Temp Directory
